10,2939
10.01955,2695
10.03909,2853
10.05864,2880
10.07818,2764
10.09773,2766
10.11727,2853
10.13682,2750
10.15637,2828
10.17591,2747
10.19546,2808
10.215,2763
10.23455,2755
10.25409,2719
10.27364,2734
10.29319,2828
10.31273,2819
10.33228,2833
10.35182,2764
10.37137,2838
10.39091,2798
10.41046,2814
10.43001,2780
10.44955,2861
10.4691,2724
10.48864,2789
10.50819,2771
10.52773,2779
10.54728,2807
10.56683,2936
10.58637,2846
10.60592,2811
10.62546,2793
10.64501,2780
10.66456,2835
10.6841,2851
10.70365,2904
10.72319,2811
10.74274,2850
10.76228,2748
10.78183,2868
10.80138,2814
10.82092,2782
10.84047,2836
10.86001,2786
10.87956,2783
10.8991,2884
10.91865,2798
10.9382,2864
10.95774,2871
10.97729,2852
10.99683,2745
11.01638,2821
11.03592,2757
11.05547,2700
11.07502,2879
11.09456,2810
11.11411,2931
11.13365,2851
11.1532,2774
11.17274,2783
11.19229,2826
11.21184,2900
11.23138,2949
11.25093,2846
11.27047,2843
11.29002,2823
11.30956,2795
11.32911,2871
11.34866,2823
11.3682,2866
11.38775,2791
11.40729,2758
11.42684,2893
11.44638,2734
11.46593,2820
11.48548,2851
11.50502,2950
11.52457,2822
11.54411,2904
11.56366,2900
11.5832,2852
11.60275,2820
11.6223,2827
11.64184,2851
11.66139,2873
11.68093,2841
11.70048,2827
11.72003,2675
11.73957,2828
11.75912,2878
11.77866,2982
11.79821,2792
11.81775,2876
11.8373,2859
11.85685,2902
11.87639,2990
11.89594,2991
11.91548,2933
11.93503,2954
11.95457,2861
11.97412,2858
11.99367,2878
12.01321,2942
12.03276,2886
12.0523,2868
12.07185,2884
12.09139,2914
12.11094,2879
12.13049,2915
12.15003,2884
12.16958,2941
12.18912,2809
12.20867,2848
12.22821,2813
12.24776,2956
12.26731,2958
12.28685,2899
12.3064,2945
12.32594,2932
12.34549,2994
12.36503,2928
12.38458,2980
12.40413,2898
12.42367,2903
12.44322,2886
12.46276,2922
12.48231,2899
12.50185,2969
12.5214,2861
12.54095,2937
12.56049,2986
12.58004,2817
12.59958,2922
12.61913,3146
12.63867,3020
12.65822,3123
12.67777,3023
12.69731,2929
12.71686,2955
12.7364,2959
12.75595,3039
12.7755,3036
12.79504,3014
12.81459,3040
12.83413,3058
12.85368,3069
12.87322,3033
12.89277,2989
12.91232,3092
12.93186,3060
12.95141,2953
12.97095,3077
12.9905,3192
13.01004,3015
13.02959,3004
13.04914,3075
13.06868,3037
13.08823,3197
13.10777,2994
13.12732,3129
13.14686,3129
13.16641,3026
13.18596,3062
13.2055,3086
13.22505,3112
13.24459,3195
13.26414,3178
13.28368,3180
13.30323,3102
13.32278,3256
13.34232,3265
13.36187,3109
13.38141,3138
13.40096,3245
